------------ PCB NO.: 07212-2M
------------ ITEM   : 55.4W101.M06G
------------ Model  : DH3 MB 07212-2M DISC (S) #2
 
64.1R005.55L     CHIP RES 1 F 1/10W 0603               3 R32
64.1R005.55L     CHIP RES 1 F 1/10W 0603               3 R256
64.20005.6DL     CHIP RES 200 F 1/16W 0402             1 R326
64.20015.6DL     CHIP RES 2K F 1/16W 0402              4 R381
64.20015.6DL     CHIP RES 2K F 1/16W 0402              4 R324
64.20015.6DL     CHIP RES 2K F 1/16W 0402              4 R308
64.20015.6DL     CHIP RES 2K F 1/16W 0402              4 R176
64.20R05.6DL     CHIP RES 20 F 1/16W 0402              4 R442
64.20R05.6DL     CHIP RES 20 F 1/16W 0402              4 R327
64.20R05.6DL     CHIP RES 20 F 1/16W 0402              4 R433
64.20R05.6DL     CHIP RES 20 F 1/16W 0402              4 R328
64.22105.6DL     CHIP RES 221 F 1/16W 0402             1 R321
64.24005.6DL     CHIP RES 240 F 1/16W 0402(ROHS        4 R361
64.24005.6DL     CHIP RES 240 F 1/16W 0402(ROHS        4 R360
64.24005.6DL     CHIP RES 240 F 1/16W 0402(ROHS        4 R115
64.24005.6DL     CHIP RES 240 F 1/16W 0402(ROHS        4 R323
64.24305.6DL     CHIP RES 243 F 1/16W 0402             4 R372
64.24305.6DL     CHIP RES 243 F 1/16W 0402             4 R370
64.24305.6DL     CHIP RES 243 F 1/16W 0402             4 R335
64.24305.6DL     CHIP RES 243 F 1/16W 0402             4 R317
64.24R95.6DL     CHIP RES 24.9 F 1/16W 0402            6 R467
64.24R95.6DL     CHIP RES 24.9 F 1/16W 0402            6 R423
64.24R95.6DL     CHIP RES 24.9 F 1/16W 0402            6 R166
64.24R95.6DL     CHIP RES 24.9 F 1/16W 0402            6 R104
64.24R95.6DL     CHIP RES 24.9 F 1/16W 0402            6 R119
64.24R95.6DL     CHIP RES 24.9 F 1/16W 0402            6 R314
64.25505.6DL     CHIP RES 255 F 1/16W 0402             1 R240
64.26115.6DL     CHIP RES 2.61K F 1/16W 0402           1 R253
64.26715.6DL     CHIP RES 2.67K F 1/16W 0402           4 R369
64.26715.6DL     CHIP RES 2.67K F 1/16W 0402           4 R359
64.26715.6DL     CHIP RES 2.67K F 1/16W 0402           4 R307
64.26715.6DL     CHIP RES 2.67K F 1/16W 0402           4 R340
64.27R45.6DL     CHIP RES 27.4 F 1/16W 0402            3 R42
64.27R45.6DL     CHIP RES 27.4 F 1/16W 0402            3 R39
